licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Midleton Quarry - W0307,2025,296924.32,2,1,0.0,0.0,296924.32,1.0
Milverton Waste Recovery Facility - W0272,2021,4990.0,2,1,0.0,0.0,4990.0,1.0
Milverton Waste Recovery Facility - W0272,2023,379692.89,2,1,0.0,0.0,379692.89,1.0
Milverton Waste Recovery Facility - W0272,2024,399608.94,2,1,0.0,0.0,399608.94,1.0
Milverton Waste Recovery Facility - W0272,2025,387247.23,2,1,0.0,0.0,387247.23,1.0
Mulleady’s Limited (Drumlish) - W0169,2021,195.46,6,4,0.0,195.46,0.0,
Mulleady’s Limited (Drumlish) - W0169,2022,353.04,3,3,0.0,353.04,0.0,
Mulleady’s Limited (Drumlish) - W0169,2023,112.08,4,4,0.0,112.08,0.0,
Mulleady’s Limited (Drumlish) - W0169,2024,504.37,7,5,0.0,504.37,0.0,
Mulleady’s Limited (Drumlish) - W0169,2025,1216.5700000000002,6,4,0.0,1216.5700000000002,0.0,
Mulleady’s Limited (Mullingar) - W0197,2021,138.82,12,7,0.0,138.82,0.0,
Mulleady’s Limited (Mullingar) - W0197,2022,145.68,12,8,0.0,145.68,0.0,
Mulleady’s Limited (Mullingar) - W0197,2023,129.82,9,6,0.0,129.82,0.0,
Mulleady’s Limited (Mullingar) - W0197,2024,262.78,11,7,0.0,262.78,0.0,
Mulleady’s Limited (Mullingar) - W0197,2025,196.1,7,5,0.0,196.1,0.0,
Murray Waste Recycling Limited - W0258,2021,12441.73,7,6,0.0,12441.73,0.0,
Murray Waste Recycling Limited - W0258,2022,4432.3099999999995,9,8,0.0,4432.3099999999995,0.0,
Murray Waste Recycling Limited - W0258,2023,3147.024,9,7,0.0,3147.024,0.0,
Murray Waste Recycling Limited - W0258,2024,418.28,9,8,0.0,418.28,0.0,
Murray Waste Recycling Limited - W0258,2025,666.34,11,8,0.0,666.34,0.0,
N&C Enterprises Limited - W0292,2021,240078.0,2,1,0.0,0.0,240078.0,1.0
N&C Enterprises Limited - W0292,2022,187627.0,2,1,0.0,0.0,187627.0,1.0
N&C Enterprises Limited - W0292,2023,344776.0,2,1,0.0,0.0,344776.0,1.0
N&C Enterprises Limited - W0292,2024,240933.0,4,3,0.0,0.0,240933.0,1.0
N&C Enterprises Limited - W0292,2025,150216.0,3,2,0.0,0.0,150216.0,1.0
North City Operations Depot - W0302,2023,1740.8999999999999,6,3,0.0,1740.8999999999999,0.0,
North City Operations Depot - W0302,2024,4399.9400000000005,6,3,0.0,4399.9400000000005,0.0,
North City Operations Depot - W0302,2025,5393.28,6,3,0.0,5393.28,0.0,
O'Toole Composting Limited - W0284,2021,1006.48,7,4,0.0,1006.48,0.0,
O'Toole Composting Limited - W0284,2022,1141.34,7,4,0.0,1141.34,0.0,
O'Toole Composting Limited - W0284,2023,2481.8599999999997,8,5,0.0,2481.8599999999997,0.0,
O'Toole Composting Limited - W0284,2024,8369.52,9,5,0.0,8369.52,0.0,
O'Toole Composting Limited - W0284,2025,8546.85,12,6,0.0,8546.85,0.0,
Oxigen Environmental  (Merrywell) - W0208,2023,80.58,3,2,0.0,80.58,0.0,
Oxigen Environmental  (Merrywell) - W0208,2024,8320.0,2,1,0.0,8320.0,0.0,
Oxigen Environmental  Unlimited Company (Robinhood) - W0152,2021,27064.190000000002,7,3,0.0,27064.190000000002,0.0,
Oxigen Environmental  Unlimited Company (Robinhood) - W0152,2022,10318.7,12,7,0.0,10318.7,0.0,
Oxigen Environmental  Unlimited Company (Robinhood) - W0152,2023,6319.19,9,6,0.0,6319.19,0.0,
Oxigen Environmental  Unlimited Company (Robinhood) - W0152,2024,9691.062,11,6,0.0,9691.062,0.0,
Oxigen Environmental  Unlimited Company (Robinhood) - W0152,2025,14764.141,20,6,0.0,14764.141,0.0,
Oxigen Environmental (Coes Road) - W0144,2021,27051.725,13,4,0.0,27051.725,0.0,
Oxigen Environmental (Coes Road) - W0144,2022,31559.8,16,5,0.0,31559.8,0.0,
Oxigen Environmental (Coes Road) - W0144,2023,36861.979,19,6,0.0,36861.979,0.0,
Oxigen Environmental (Coes Road) - W0144,2024,43748.48,14,7,0.0,43748.48,0.0,
Oxigen Environmental (Coes Road) - W0144,2025,60564.818,17,7,0.0,60564.818,0.0,
P Carney Limited - P0402,2021,2638.0,4,2,0.0,0.0,2638.0,1.0
P Carney Limited - P0402,2022,2448.0,4,2,0.0,0.0,2448.0,1.0
P Carney Limited - P0402,2023,2194.73,4,2,0.0,0.0,2194.73,1.0
P Carney Limited - P0402,2024,2628.94,4,2,0.0,0.0,2628.94,1.0
P Carney Limited - P0402,2025,2936.8,4,2,0.0,0.0,2936.8,1.0
Padraig Thornton Waste Disposal Limited - W0227,2021,17167.614999999998,19,9,0.0,17167.614999999998,0.0,
Padraig Thornton Waste Disposal Limited - W0227,2022,23578.253,19,8,0.0,23578.253,0.0,
Padraig Thornton Waste Disposal Limited - W0227,2023,59012.539000000004,18,9,0.0,59012.539000000004,0.0,
Padraig Thornton Waste Disposal Limited - W0227,2024,67829.897,15,8,0.0,67829.897,0.0,
Padraig Thornton Waste Disposal Limited - W0227,2025,81441.231,19,12,0.0,81441.231,0.0,
Padraig Thornton Waste Disposal Ltd - W0206,2021,8371.409,16,9,0.0,8371.409,0.0,
Padraig Thornton Waste Disposal Ltd - W0206,2022,8803.06,15,7,0.0,8803.06,0.0,
Padraig Thornton Waste Disposal Ltd - W0206,2023,17774.96,17,11,0.0,17774.96,0.0,
Padraig Thornton Waste Disposal Ltd - W0206,2024,20881.47,13,8,0.0,20881.47,0.0,
Padraig Thornton Waste Disposal Ltd - W0206,2025,7735.926,13,9,0.0,7735.926,0.0,
Powerstown Landfill Site - W0025,2021,84.32000000000001,4,2,0.0,84.32000000000001,0.0,
Powerstown Landfill Site - W0025,2022,57.879999999999995,4,2,0.0,57.879999999999995,0.0,
Powerstown Landfill Site - W0025,2023,94.225,4,2,0.0,94.225,0.0,
Powerstown Landfill Site - W0025,2024,118.565,4,2,0.0,118.565,0.0,
Powerstown Landfill Site - W0025,2025,124.99,4,2,0.0,124.99,0.0,
Raffeen Landfill Site - W0023,2021,288.46000000000004,6,3,0.0,288.46000000000004,0.0,
Raffeen Landfill Site - W0023,2022,262.44,6,3,0.0,262.44,0.0,
Raffeen Landfill Site - W0023,2023,373.14,6,4,0.0,373.14,0.0,
Raffeen Landfill Site - W0023,2024,317.71000000000004,6,3,0.0,317.71000000000004,0.0,
Raffeen Landfill Site - W0023,2025,302.88,6,3,0.0,302.88,0.0,
Rathroeen Landfill - W0067,2021,0.0,3,3,0.0,0.0,0.0,
Rathroeen Landfill - W0067,2022,0.0,3,3,0.0,0.0,0.0,
Rathroeen Landfill - W0067,2023,0.0,3,3,0.0,0.0,0.0,
Rathroeen Landfill - W0067,2024,0.0,3,3,0.0,0.0,0.0,
Rathroeen Landfill - W0067,2025,0.0,6,4,0.0,0.0,0.0,
Ray Whelan Ltd - W0158,2021,1660.0,7,3,0.0,1660.0,0.0,
Ray Whelan Ltd - W0158,2022,1738.9099999999999,5,2,0.0,1738.9099999999999,0.0,
Ray Whelan Ltd - W0158,2023,1596.89,7,4,0.0,1596.89,0.0,
Ray Whelan Ltd - W0158,2024,1983.12,7,3,0.0,1983.12,0.0,
Ray Whelan Ltd - W0158,2025,1787.0,8,4,0.0,1787.0,0.0,
Recycling Centre and Waste Transfer Station - W0200,2021,176.32,6,3,118.84,57.480000000000004,0.0,0.0
Recycling Centre and Waste Transfer Station - W0200,2022,183.44,6,3,0.0,183.44,0.0,
Recycling Centre and Waste Transfer Station - W0200,2023,201.04,6,3,0.0,201.04,0.0,
Recycling Centre and Waste Transfer Station - W0200,2024,220.54,6,3,0.0,220.54,0.0,
Recycling Centre and Waste Transfer Station - W0200,2025,212.3,6,3,0.0,212.3,0.0,
Rilta Environmental - W0185,2021,6072.274,13,6,5988.401,83.87299999999999,0.0,0.0
Rilta Environmental - W0185,2022,5661.1359999999995,16,8,5540.674999999999,120.461,0.0,0.0
Rilta Environmental - W0185,2023,5988.5,12,5,5919.222,69.278,0.0,0.0
Rilta Environmental - W0185,2024,6111.461,8,3,6081.169,30.292,0.0,0.0
Rilta Environmental - W0185,2025,10331.806999999999,11,4,10308.74,23.067,0.0,0.0
Roscommon Landfill Facility - W0073,2023,0.0,1,1,0.0,0.0,0.0,
Roscommon Landfill Facility - W0073,2024,0.0,1,1,0.0,0.0,0.0,
"SRCL Limited (Kylemore Road) trading as Eco-Safe Systems Ltd, Allied Industrial Estate, Kylemore Road, Dublin 10 - W0054",2021,9.058,2,1,0.0,9.058,0.0,
"SRCL Limited (Kylemore Road) trading as Eco-Safe Systems Ltd, Allied Industrial Estate, Kylemore Road, Dublin 10 - W0054",2022,3.46,6,3,0.0,3.46,0.0,
"SRCL Limited (Kylemore Road) trading as Eco-Safe Systems Ltd, Allied Industrial Estate, Kylemore Road, Dublin 10 - W0054",2023,10.591,4,2,0.0,10.591,0.0,
"SRCL Limited (Kylemore Road) trading as Eco-Safe Systems Ltd, Allied Industrial Estate, Kylemore Road, Dublin 10 - W0054",2024,0.254,2,1,0.0,0.254,0.0,
SRCL Limited - W0055,2021,0.0,1,1,0.0,0.0,0.0,
Saint-Gobain Construction Products (Ireland) Limited - P0519,2021,1922.0,2,1,0.0,0.0,1922.0,1.0
Saint-Gobain Construction Products (Ireland) Limited - P0519,2022,2623.0,2,1,0.0,0.0,2623.0,1.0
Saint-Gobain Construction Products (Ireland) Limited - P0519,2023,3034.0,2,1,0.0,0.0,3034.0,1.0
Saint-Gobain Construction Products (Ireland) Limited - P0519,2024,3085.0,2,1,0.0,0.0,3085.0,1.0
Saint-Gobain Construction Products (Ireland) Limited - P0519,2025,3691.76,2,1,0.0,0.0,3691.76,1.0
Scotch Corner Landfill - W0020,2021,75.71,3,1,0.0,0.0,75.71,1.0
Silliot Hill Landfill - W0014,2025,18.32,5,4,0.0,18.32,0.0,
Soltec (Ireland) Limited - P1093,2021,3.0,2,1,0.0,3.0,0.0,
Soltec (Ireland) Limited - P1093,2022,4.811,6,4,0.0,4.811,0.0,
Soltec (Ireland) Limited - P1093,2023,12.636,7,3,0.0,12.636,0.0,
Soltec (Ireland) Limited - P1093,2024,41.5,5,2,0.0,41.5,0.0,
Soltec (Ireland) Limited - P1093,2025,9.632,10,3,0.0,9.632,0.0,
Starrus Eco Holdings Limited (Ballymount) - W0039,2021,15095.98,18,12,0.0,15095.98,0.0,
Starrus Eco Holdings Limited (Ballymount) - W0039,2022,23072.21,16,12,0.0,23072.21,0.0,
Starrus Eco Holdings Limited (Ballymount) - W0039,2023,29352.656,16,12,0.0,29352.656,0.0,
Starrus Eco Holdings Limited (Ballymount) - W0039,2024,32644.593,15,11,0.0,32644.593,0.0,
Starrus Eco Holdings Limited (Ballymount) - W0039,2025,40090.07,16,11,0.0,40090.07,0.0,
Starrus Eco Holdings Limited (Cappagh) - W0261,2021,215.02,6,6,0.0,215.02,0.0,
Starrus Eco Holdings Limited (Cappagh) - W0261,2022,23.58,6,6,0.0,23.58,0.0,
Starrus Eco Holdings Limited (Cappagh) - W0261,2023,126.83999999999999,3,3,0.0,126.83999999999999,0.0,
Starrus Eco Holdings Limited (Cappagh) - W0261,2024,105.34,6,5,0.0,105.34,0.0,
Starrus Eco Holdings Limited (Cappagh) - W0261,2025,3508.0,7,7,0.0,3508.0,0.0,
"Starrus Eco Holdings Limited (Cookstown, Tallaght) - W0079",2024,1.3,1,1,0.0,1.3,0.0,
Starrus Eco Holdings Limited (Dock Road) - W0082,2021,2845.9700000000003,13,8,0.0,2845.9700000000003,0.0,
Starrus Eco Holdings Limited (Dock Road) - W0082,2022,2368.68,13,9,0.0,2368.68,0.0,
Starrus Eco Holdings Limited (Dock Road) - W0082,2023,4308.0929,15,7,0.0,4308.0929,0.0,
Starrus Eco Holdings Limited (Dock Road) - W0082,2024,6600.268,17,12,0.0,6600.268,0.0,
Starrus Eco Holdings Limited (Dock Road) - W0082,2025,7577.63,15,10,0.0,7577.63,0.0,
Starrus Eco Holdings Limited (Fassaroe) - W0053,2021,10955.501,20,14,0.0,10955.501,0.0,
Starrus Eco Holdings Limited (Fassaroe) - W0053,2022,16960.2,20,14,0.0,16960.2,0.0,
Starrus Eco Holdings Limited (Fassaroe) - W0053,2023,19684.03,21,14,0.0,19684.03,0.0,
Starrus Eco Holdings Limited (Fassaroe) - W0053,2024,24898.382999999998,21,15,0.0,24898.382999999998,0.0,
Starrus Eco Holdings Limited (Fassaroe) - W0053,2025,26857.36,21,15,0.0,26857.36,0.0,
Starrus Eco Holdings Limited (Gorey) - W0220,2021,299.38,10,7,0.0,299.38,0.0,
Starrus Eco Holdings Limited (Gorey) - W0220,2022,792.62,10,5,0.0,792.62,0.0,
Starrus Eco Holdings Limited (Gorey) - W0220,2023,1506.561,8,6,0.0,1506.561,0.0,
Starrus Eco Holdings Limited (Gorey) - W0220,2024,3394.95,10,8,0.0,3394.95,0.0,
Starrus Eco Holdings Limited (Gorey) - W0220,2025,4974.56,7,6,0.0,4974.56,0.0,
Starrus Eco Holdings Limited (Greenogue) - W0188,2021,3086.44,9,7,0.0,3086.44,0.0,
Starrus Eco Holdings Limited (Greenogue) - W0188,2022,10913.64,18,13,0.0,10913.64,0.0,
Starrus Eco Holdings Limited (Greenogue) - W0188,2023,11115.501,15,13,0.0,11115.501,0.0,
Starrus Eco Holdings Limited (Greenogue) - W0188,2024,12191.55,12,11,0.0,12191.55,0.0,
Starrus Eco Holdings Limited (Greenogue) - W0188,2025,14286.509999999998,15,11,0.0,14286.509999999998,0.0,
Starrus Eco Holdings Limited (Millenium Business Park) - W0183,2021,27926.280000000002,23,14,0.0,27926.280000000002,0.0,
Starrus Eco Holdings Limited (Millenium Business Park) - W0183,2022,35702.46000000001,24,16,0.0,35702.46000000001,0.0,
Starrus Eco Holdings Limited (Millenium Business Park) - W0183,2023,39363.770000000004,27,16,0.0,39363.770000000004,0.0,
Starrus Eco Holdings Limited (Millenium Business Park) - W0183,2024,60960.472,22,16,0.0,60960.472,0.0,
Starrus Eco Holdings Limited (Millenium Business Park) - W0183,2025,73225.82999999999,26,16,0.0,73225.82999999999,0.0,
Starrus Eco Holdings Limited (Munster) - W0136,2021,4601.88,21,11,0.0,4601.88,0.0,
Starrus Eco Holdings Limited (Munster) - W0136,2022,3817.8235,20,11,0.0,3817.8235,0.0,
Starrus Eco Holdings Limited (Munster) - W0136,2023,4726.840200000001,20,12,0.0,4726.840200000001,0.0,
Starrus Eco Holdings Limited (Munster) - W0136,2024,6919.670099999999,15,10,0.0,6919.670099999999,0.0,
Starrus Eco Holdings Limited (Munster) - W0136,2025,10740.43,16,12,0.0,10740.43,0.0,
Starrus Eco Holdings Limited (Slane) - W0140,2021,49816.82,21,13,0.0,806.44,49010.38,1.0
Starrus Eco Holdings Limited (Slane) - W0140,2022,28116.7,21,15,0.0,28116.7,0.0,
Starrus Eco Holdings Limited (Slane) - W0140,2023,24292.92,17,14,0.0,24292.92,0.0,
Starrus Eco Holdings Limited (Slane) - W0140,2024,27956.881,14,11,0.0,27956.881,0.0,
Starrus Eco Holdings Limited (Slane) - W0140,2025,32794.520000000004,18,13,0.0,32793.24,1.28,1.0
Starrus Eco Holdings Limited (Sligo) - W0058,2021,328.865,4,3,0.0,328.865,0.0,
Starrus Eco Holdings Limited (Sligo) - W0058,2022,197.1,3,2,0.0,197.1,0.0,
Starrus Eco Holdings Limited (Sligo) - W0058,2023,316.74100000000004,3,3,0.0,316.74100000000004,0.0,
Starrus Eco Holdings Limited (Sligo) - W0058,2024,1166.0839999999998,7,6,0.0,1166.0839999999998,0.0,
Starrus Eco Holdings Limited (Sligo) - W0058,2025,2797.16,5,5,0.0,2797.16,0.0,
Starrus Eco Holdings Limited (Waterford City) - W0177,2021,2461.121,11,10,0.0,2461.121,0.0,
Starrus Eco Holdings Limited (Waterford City) - W0177,2022,2315.8,15,10,0.0,2315.8,0.0,
Starrus Eco Holdings Limited (Waterford City) - W0177,2023,4737.976000000001,13,11,0.0,4737.976000000001,0.0,
Starrus Eco Holdings Limited (Waterford City) - W0177,2024,7982.840000000001,16,11,0.0,7982.840000000001,0.0,
Starrus Eco Holdings Limited (Waterford City) - W0177,2025,7538.43,15,10,0.0,7538.43,0.0,
Ted O'Donoghue and Sons Limited - W0214,2021,6313.0,9,5,0.0,6313.0,0.0,
Ted O'Donoghue and Sons Limited - W0214,2022,6450.0,10,6,0.0,6450.0,0.0,
Ted O'Donoghue and Sons Limited - W0214,2023,5462.0,10,6,0.0,5462.0,0.0,
Ted O'Donoghue and Sons Limited - W0214,2024,4536.0,10,7,0.0,4536.0,0.0,
Ted O'Donoghue and Sons Limited - W0214,2025,4250.0,9,5,0.0,4250.0,0.0,
The City Bin Co. Unlimited Company - W0148,2021,82.82,4,2,0.0,82.82,0.0,
The City Bin Co. Unlimited Company - W0148,2022,72.5,3,2,0.0,72.5,0.0,
The City Bin Co. Unlimited Company - W0148,2023,8.13,3,2,0.0,8.13,0.0,
The City Bin Co. Unlimited Company - W0148,2024,1052.26,5,4,0.0,1052.26,0.0,
The City Bin Co. Unlimited Company - W0148,2025,3120.107,18,9,0.0,3120.107,0.0,
The Hammond Lane Metal Company Limited - P0997,2021,9821.986,6,6,0.0,122.334,9699.652,1.0
The Hammond Lane Metal Company Limited - P0997,2022,10295.456999999999,11,6,0.0,472.411,9823.045999999998,1.0
The Hammond Lane Metal Company Limited - P0997,2023,12229.638,12,7,0.0,12229.638,0.0,
The Hammond Lane Metal Company Limited - P0997,2024,13596.690999999999,12,6,0.0,451.481,13145.21,1.0
The Hammond Lane Metal Company Limited - P0997,2025,12100.749000000002,12,6,0.0,12100.749000000002,0.0,
The Hammond Lane Metal Company Limited - P1002,2021,56962.388999999996,8,6,0.0,3664.086,53298.303,1.0
The Hammond Lane Metal Company Limited - P1002,2022,54309.862,14,6,0.0,1527.9850000000001,52781.877,1.0
The Hammond Lane Metal Company Limited - P1002,2023,50323.234,15,6,0.0,1118.129,49205.104999999996,1.0
The Hammond Lane Metal Company Limited - P1002,2024,37656.770000000004,12,6,0.0,473.153,37183.617,1.0
The Hammond Lane Metal Company Limited - P1002,2025,37368.664000000004,14,6,0.0,37368.664000000004,0.0,
Thorntons Recycling Centre (Ballyfermot) - W0044,2021,3973.73,13,9,0.0,3973.73,0.0,
Thorntons Recycling Centre (Ballyfermot) - W0044,2022,18804.521999999997,10,8,0.0,18804.521999999997,0.0,
Thorntons Recycling Centre (Ballyfermot) - W0044,2023,54660.662,17,12,0.0,54660.662,0.0,
Thorntons Recycling Centre (Ballyfermot) - W0044,2024,57627.062000000005,15,12,0.0,57627.062000000005,0.0,
Thorntons Recycling Centre (Ballyfermot) - W0044,2025,68153.38500000001,16,13,0.0,68153.38500000001,0.0,
Tulligmore Quarry Solutions Limited - W0255,2022,46125.86,3,1,23062.93,0.0,23062.93,0.5
Tulligmore Quarry Solutions Limited - W0255,2023,443334.12,21,2,443334.12,0.0,0.0,0.0
Tulligmore Quarry Solutions Limited - W0255,2024,552791.02,41,2,0.0,0.0,552791.02,1.0
Tulligmore Quarry Solutions Limited - W0255,2025,455291.73600000003,58,3,0.0,0.0,455291.73600000003,1.0
Valcroft Unlimited Company - P1136,2025,2993.94,5,3,0.0,2993.94,0.0,
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",2021,88.35,6,4,79.85,8.5,0.0,0.0
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",2022,109.4,8,4,109.4,0.0,0.0,0.0
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",2023,71.326,7,4,71.326,0.0,0.0,0.0
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",2024,0.841,4,3,0.841,0.0,0.0,0.0
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",2025,17.16,4,2,17.16,0.0,0.0,0.0
Walshestown Restoration Limited - W0254,2021,637312.196,62,3,0.0,0.0,637312.196,1.0
Walshestown Restoration Limited - W0254,2022,505948.94,74,5,0.0,0.0,505948.94,1.0
Walshestown Restoration Limited - W0254,2023,596507.936,75,6,0.0,0.0,596507.936,1.0
Walshestown Restoration Limited - W0254,2024,347790.08999999997,47,3,0.0,0.0,347790.08999999997,1.0
Walshestown Restoration Limited - W0254,2025,629878.2760000001,80,3,0.0,513793.52,116084.75600000001,1.0
Waste Recovery Services (Fermoy) Limited - W0107,2022,4191.3,11,7,0.0,3617.78,573.52,1.0
Waste Recovery Services (Fermoy) Limited - W0107,2023,7547.54,10,8,0.0,6660.14,887.4,1.0
Youghal Landfill - W0068,2021,10.96,1,1,0.0,0.0,10.96,1.0
Youghal Landfill - W0068,2022,10.56,2,1,0.0,0.0,10.56,1.0
Youghal Landfill - W0068,2023,4.84,2,1,0.0,0.0,4.84,1.0
Youghal Landfill - W0068,2024,7.08,2,1,0.0,0.0,7.08,1.0
Youghal Landfill - W0068,2025,14.42,2,1,0.0,0.0,14.42,1.0
