licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Brownswood Inert Waste Recovery Facility - W0280,2021,135249.0,2,1,0.0,0.0,135249.0,1.0
Brownswood Inert Waste Recovery Facility - W0280,2022,131109.74,2,1,0.0,0.0,131109.74,1.0
Brownswood Inert Waste Recovery Facility - W0280,2023,196155.14,2,1,0.0,0.0,196155.14,1.0
Brownswood Inert Waste Recovery Facility - W0280,2024,83684.77,2,1,0.0,0.0,83684.77,1.0
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2021,9860.74,4,3,0.0,9860.74,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2022,12708.85,4,3,0.0,12708.85,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2023,11122.96,3,2,0.0,11122.96,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2024,12770.01,5,2,0.0,12770.01,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2025,13652.54,9,4,0.0,13652.54,0.0,
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2021,853.0,4,2,0.0,0.0,853.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2022,873.0,2,1,0.0,0.0,873.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2023,1609.0,5,4,0.0,0.0,1609.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2024,1809.0,4,3,0.0,0.0,1809.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2025,2827.0,6,4,0.0,0.0,2827.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2021,388.0,4,2,0.0,0.0,388.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2022,490.0,2,1,0.0,0.0,490.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2023,835.0,5,4,0.0,0.0,835.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2024,1460.0,6,5,0.0,0.0,1460.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2025,1301.0,7,5,0.0,0.0,1301.0,1.0
CHI Environmental Limited - W0260,2021,24179.0,6,4,0.0,0.0,24179.0,1.0
CHI Environmental Limited - W0260,2022,37655.0,6,4,0.0,0.0,37655.0,1.0
CHI Environmental Limited - W0260,2023,30380.0,6,4,0.0,0.0,30380.0,1.0
CHI Environmental Limited - W0260,2024,35583.78,8,4,0.0,0.0,35583.78,1.0
CHI Environmental Limited - W0260,2025,41085.48,6,3,0.0,0.0,41085.48,1.0
Calary Quarry - W0293,2022,33328.15,2,1,0.0,0.0,33328.15,1.0
Calary Quarry - W0293,2023,177831.19,2,1,0.0,0.0,177831.19,1.0
Calary Quarry - W0293,2024,302000.0,2,1,0.0,0.0,302000.0,1.0
Calary Quarry - W0293,2025,304339.03,2,1,0.0,0.0,304339.03,1.0
Cavan Waste Disposal Ltd - W0207,2021,1849.02,9,4,0.0,1849.02,0.0,
Cavan Waste Disposal Ltd - W0207,2022,1528.7199999999998,9,6,0.0,1528.7199999999998,0.0,
Cavan Waste Disposal Ltd - W0207,2023,1121.4499999999998,10,6,0.0,1121.4499999999998,0.0,
Cavan Waste Disposal Ltd - W0207,2024,1665.29,9,5,0.0,1665.29,0.0,
Cavan Waste Disposal Ltd - W0207,2025,2931.09,9,5,0.0,2931.09,0.0,
Clashford Recovery Facilities LTD - W0265,2023,10607.0,2,1,0.0,0.0,10607.0,1.0
Clashford Recovery Facilities LTD - W0265,2024,20645.0,3,2,0.0,790.0,19855.0,1.0
Clashford Recovery Facilities LTD - W0265,2025,21287.0,4,2,0.0,0.0,21287.0,1.0
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2021,404.609,16,8,0.0,404.609,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2022,897.8699999999999,12,7,0.0,897.8699999999999,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2023,1473.78,20,9,0.0,1473.78,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2024,3381.549,18,9,0.0,3381.549,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2025,2656.844,20,10,0.0,2656.844,0.0,
Clonakilty Waste Transfer Station - W0008,2021,19.68,4,2,0.0,19.68,0.0,
