licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate,cluster,anomaly_score,is_anomaly,archetype
Boliden Tara Mines Limited - P0516,2025,46639.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.20912023231846277,False,Recycler/Recovery
Bord Na Móna Recycling Limited - W0104,2021,98.35,5.0,4.0,0.0,0.0,1.0,0.0,0.0,,4,0.20355879159277762,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0104,2022,105.82,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.21016229720649804,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0104,2023,103.99000000000001,6.0,4.0,0.0,0.0,1.0,0.0,0.0,,4,0.20825793994568026,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0104,2024,14.5,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.19625759624118105,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0131,2021,19440.17,14.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.21465607999866504,False,Transfer/storage
Bord Na Móna Recycling Limited - W0131,2022,11891.0,13.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.2222470173514675,False,Transfer/storage
Bord Na Móna Recycling Limited - W0131,2023,15269.83,9.0,7.0,0.0,0.0,1.0,0.0,0.0,,1,0.2164960699636574,False,Transfer/storage
Bord Na Móna Recycling Limited - W0131,2024,11287.140000000001,9.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.21077829016833388,False,Transfer/storage
Bord Na Móna Recycling Limited - W0131,2025,11797.810000000001,11.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.2143220914750535,False,Transfer/storage
Bord Na Móna Recycling Limited - W0194,2021,1009.25,19.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.1722036555477544,False,Transfer/storage
Bord Na Móna Recycling Limited - W0194,2022,806.96,15.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.1951801322982712,False,Transfer/storage
Bord Na Móna Recycling Limited - W0194,2023,704.63,11.0,7.0,0.0,0.0,1.0000000000000002,0.0,0.0,,1,0.21661032724234408,False,Transfer/storage
Bord Na Móna Recycling Limited - W0194,2024,747.19,10.0,7.0,0.0,0.0,1.0,0.0,0.0,,1,0.21889887472471542,False,Transfer/storage
Bord Na Móna Recycling Limited - W0194,2025,607.38,11.0,7.0,0.0,0.0,1.0,0.0,0.0,,1,0.21628486714921424,False,Transfer/storage
Bord Na Móna Recycling Limited - W0222,2021,39849.64,12.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.2074239972249839,False,Transfer/storage
Bord Na Móna Recycling Limited - W0222,2022,34516.130000000005,14.0,10.0,0.0,0.0,1.0,0.0,0.0,,1,0.1997899651006909,False,Transfer/storage
Bord Na Móna Recycling Limited - W0222,2023,41473.87,14.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.20698994572083085,False,Transfer/storage
Bord Na Móna Recycling Limited - W0222,2024,39618.5,10.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.20024041311182927,False,Transfer/storage
Bord Na Móna Recycling Limited - W0222,2025,39755.56,11.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.1980361487737491,False,Transfer/storage
Bord Na Móna Recycling Limited - W0229,2021,468.25509999999997,11.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.21537370846709075,False,Transfer/storage
Bord Na Móna Recycling Limited - W0229,2022,576.73,12.0,7.0,0.0,0.0,1.0,0.0,0.0,,1,0.21347233026285517,False,Transfer/storage
Bord Na Móna Recycling Limited - W0229,2023,638.26,11.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.21716378106999445,False,Transfer/storage
Bord Na Móna Recycling Limited - W0229,2024,225.512,10.0,6.0,0.0,0.0,1.0000000000000002,0.0,0.0,,4,0.21051895443822072,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0229,2025,371.25,10.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.21954821394974378,False,Transfer/storage
Bord Na Móna Recycling Limited - W0240,2021,69.16,10.0,6.0,0.0,0.0,1.0,0.0,0.0,,4,0.19336893418824247,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0240,2022,110.39999999999999,8.0,5.0,0.0,0.0,1.0,0.0,0.0,,4,0.20555232800850926,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0240,2023,412.88000000000005,11.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.2157583791238331,False,Transfer/storage
Bord Na Móna Recycling Limited - W0240,2024,381.96,8.0,5.0,0.0,0.0,1.0,0.0,0.0,,4,0.2209277633463514,False,Small transfer/storage
Bord Na Móna Recycling Limited - W0240,2025,331.34000000000003,13.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.2083506048402266,False,Transfer/storage
Brownswood Inert Waste Recovery Facility - W0280,2021,135249.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.1608560131894488,False,Recycler/Recovery
Brownswood Inert Waste Recovery Facility - W0280,2022,131109.74,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.20360085738531197,False,Recycler/Recovery
Brownswood Inert Waste Recovery Facility - W0280,2023,196155.14,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.16410055094576526,False,Recycler/Recovery
Brownswood Inert Waste Recovery Facility - W0280,2024,83684.77,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.1601049009257271,False,Recycler/Recovery
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2021,9860.74,4.0,3.0,0.0,0.0,1.0,0.0,0.0,,4,0.20790159011357906,False,Small transfer/storage
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2022,12708.85,4.0,3.0,0.0,0.0,1.0,0.0,0.0,,4,0.20413963461202067,False,Small transfer/storage
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2023,11122.96,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.19728004392422593,False,Small transfer/storage
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2024,12770.01,5.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.1989816916257252,False,Small transfer/storage
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2025,13652.54,9.0,4.0,0.0,0.0,1.0,0.0,0.0,,1,0.21740573278102593,False,Transfer/storage
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2021,853.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19950260823189297,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2022,873.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.20531933844559053,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2023,1609.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.18687958717333913,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2024,1809.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19616152071322046,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2025,2827.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19055854075130046,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2021,388.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19567156139476488,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2022,490.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.20119126293961637,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2023,835.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1836706169165342,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2024,1460.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1772605490207373,False,Recycler/Recovery
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2025,1301.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.17683594903005795,False,Recycler/Recovery
CHI Environmental Limited - W0260,2021,24179.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.20063096740977088,False,Recycler/Recovery
CHI Environmental Limited - W0260,2022,37655.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19719037769568332,False,Recycler/Recovery
CHI Environmental Limited - W0260,2023,30380.0,6.0,4.0,1.0,0.0,0.0,0.045819618169848586,0.0,1.0,0,0.1616166654549301,False,Recycler/Recovery
CHI Environmental Limited - W0260,2024,35583.78,8.0,4.0,1.0,0.0,0.0,0.026123419153333348,0.0,1.0,0,0.17183721517711686,False,Recycler/Recovery
CHI Environmental Limited - W0260,2025,41085.48,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19955771518438448,False,Recycler/Recovery
Calary Quarry - W0293,2022,33328.15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.2095180827709633,False,Recycler/Recovery
Calary Quarry - W0293,2023,177831.19,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.16190687905593965,False,Recycler/Recovery
Calary Quarry - W0293,2024,302000.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.1619706216361827,False,Recycler/Recovery
Calary Quarry - W0293,2025,304339.03,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19397292610422356,False,Recycler/Recovery
Cavan Waste Disposal Ltd - W0207,2021,1849.02,9.0,4.0,0.0,0.0,1.0,0.0,0.0,,4,0.22071922778020792,False,Small transfer/storage
Cavan Waste Disposal Ltd - W0207,2022,1528.7199999999998,9.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.22858185414795545,False,Transfer/storage
Cavan Waste Disposal Ltd - W0207,2023,1121.4499999999998,10.0,6.0,0.0,0.0,1.0,0.0,0.0,,1,0.22323397452641963,False,Transfer/storage
Cavan Waste Disposal Ltd - W0207,2024,1665.29,9.0,5.0,0.0,0.0,1.0,0.0,0.0,,1,0.22649139558528242,False,Transfer/storage
Cavan Waste Disposal Ltd - W0207,2025,2931.0899999999997,9.0,5.0,0.0,0.0,1.0000000000000002,0.0,0.0,,1,0.22679980459252486,False,Transfer/storage
Clashford Recovery Facilities LTD - W0265,2023,10607.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.2133465755300039,False,Recycler/Recovery
Clashford Recovery Facilities LTD - W0265,2024,20645.0,3.0,2.0,0.9617340760474691,0.0,0.0,0.0,0.0,1.0,0,0.18549629286839042,False,Recycler/Recovery
Clashford Recovery Facilities LTD - W0265,2025,21287.0,4.0,2.0,1.0,0.0,0.0,0.8797388077230235,0.0,1.0,2,0.10655480157811659,False,Recycler/Recovery
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2021,404.609,16.0,8.0,0.0,0.0,1.0,0.0,0.0,,1,0.18467406222368538,False,Transfer/storage
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2022,897.8699999999999,12.0,7.0,0.0,0.0,1.0000000000000002,0.0,0.0,,1,0.2163071434596982,False,Transfer/storage
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2023,1473.7800000000002,20.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.18141613458897243,False,Transfer/storage
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2024,3381.549,18.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.20345433057028778,False,Transfer/storage
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2025,2656.844,20.0,10.0,0.0,0.0,1.0,0.0,0.0,,1,0.17951486172393266,False,Transfer/storage
Clonakilty Waste Transfer Station - W0008,2021,19.68,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.19736879877320018,False,Small transfer/storage
Clonakilty Waste Transfer Station - W0008,2022,134.66,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.2112308340386002,False,Small transfer/storage
Clonakilty Waste Transfer Station - W0008,2023,92.2,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.20984796690601254,False,Small transfer/storage
Corranure Landfill - W0077,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Corranure Landfill - W0077,2022,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Corranure Landfill - W0077,2023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Corranure Landfill - W0077,2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Corranure Landfill - W0077,2025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Country Clean Recycling Unlimited Company - W0257,2021,9941.98,21.0,10.0,0.0,0.0,1.0,0.0,0.0,,1,0.18768289125159654,False,Transfer/storage
Country Clean Recycling Unlimited Company - W0257,2022,8442.17,16.0,10.0,0.0,0.0,1.0,0.0,0.0,,1,0.20718612416417193,False,Transfer/storage
Country Clean Recycling Unlimited Company - W0257,2023,10565.19,14.0,9.0,0.0,0.0,1.0,0.0,0.0,,1,0.22168169674421495,False,Transfer/storage
Country Clean Recycling Unlimited Company - W0257,2024,15119.46,15.0,9.0,0.0,0.8838536561490953,0.11614634385090473,0.0,0.0,0.0,3,-0.006405845846350955,True,Disposal/Landfill
Country Clean Recycling Unlimited Company - W0257,2025,18050.4,16.0,9.0,0.0,0.9077056464122678,0.09229435358773212,0.0,0.0,0.0,3,-0.0015082656334687305,True,Disposal/Landfill
Crag Arklow Limited - P0031,2025,15750.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.14256422466473595,False,Small transfer/storage
Derrinumera Landfill Facility - W0021,2021,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derrinumera Landfill Facility - W0021,2022,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derrinumera Landfill Facility - W0021,2023,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derrinumera Landfill Facility - W0021,2024,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derrinumera Landfill Facility - W0021,2025,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derryclure Landfill - W0029,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Derryclure Landfill - W0029,2022,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Derryclure Landfill - W0029,2023,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4,0.11833231621973839,False,Small transfer/storage
Derryclure Landfill - W0029,2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4,0.14594567740689113,False,Small transfer/storage
Dingle Civic Amenity Centre - W0225,2021,24.08,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.19302194174617143,False,Small transfer/storage
Dingle Civic Amenity Centre - W0225,2022,11.88,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.1864321635246135,False,Small transfer/storage
Dingle Civic Amenity Centre - W0225,2023,21.3,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.1924726499036703,False,Small transfer/storage
Dingle Civic Amenity Centre - W0225,2024,39.28,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.19538559809149536,False,Small transfer/storage
Dingle Civic Amenity Centre - W0225,2025,23.6,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.19302194174617143,False,Small transfer/storage
Donohill Landfill - W0074,2021,80.9,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1874996249254754,False,Recycler/Recovery
Donohill Landfill - W0074,2022,60.04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.18446729978869997,False,Recycler/Recovery
Donohill Landfill - W0074,2023,63.08,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.19467183569224444,False,Small transfer/storage
Donohill Landfill - W0074,2024,66.28,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.1951244760016494,False,Small transfer/storage
Donohill Landfill - W0074,2025,69.8,4.0,2.0,0.8730659025787966,0.12693409742120343,0.0,0.0,0.12693409742120343,0.8730659025787966,0,0.058619954719744016,False,Recycler/Recovery
Drehid Waste Management Facility - W0201,2021,144621.96,17.0,3.0,0.995378295246448,0.00462170475355195,0.0,0.1271765366753431,0.0,0.995378295246448,0,0.11698757612223282,False,Recycler/Recovery
Drehid Waste Management Facility - W0201,2022,44087.909999999996,15.0,4.0,0.9844864499133663,0.015513550086633727,0.0,0.9844864499133663,0.0,0.9844864499133663,2,0.029948886725956636,False,Recycler/Recovery
Drehid Waste Management Facility - W0201,2023,138532.64000000004,21.0,3.0,0.9952206209309228,0.004779379069077149,0.0,0.9952206209309228,0.0,0.9952206209309228,2,0.06506238429575228,False,Recycler/Recovery
Drehid Waste Management Facility - W0201,2024,140625.77999999997,31.0,6.0,0.995493713883756,0.00450628611624412,0.0,0.995493713883756,0.0,0.9954937138837558,2,0.04341121802121839,False,Recycler/Recovery
Drehid Waste Management Facility - W0201,2025,126557.95999999999,26.0,4.0,0.9953964175781594,0.004603582421840555,0.0,0.9953964175781594,0.0,0.9953964175781594,2,0.058206447298496,False,Recycler/Recovery
Dublin Port Company - P1022,2021,65373.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2,0.0004939497442802976,False,Recycler/Recovery
Dungarvan Waste Disposal Site - W0032,2021,190.56,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19811877413900342,False,Recycler/Recovery
Dungarvan Waste Disposal Site - W0032,2022,176.36,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.1183824272535462,False,Recycler/Recovery
Dungarvan Waste Disposal Site - W0032,2023,225.26,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.122775654162817,False,Recycler/Recovery
Dungarvan Waste Disposal Site - W0032,2024,227.12,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.122775654162817,False,Recycler/Recovery
Dungarvan Waste Disposal Site - W0032,2025,279.12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.19955241720109157,False,Recycler/Recovery
East Cork Landfill Site - W0022,2022,6.74,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.16774881257445046,False,Recycler/Recovery
East Cork Landfill Site - W0022,2023,7.64,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1707056949280394,False,Recycler/Recovery
East Cork Landfill Site - W0022,2024,4.94,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.16416768575641105,False,Recycler/Recovery
East Cork Landfill Site - W0022,2025,3.86,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.15825579784678978,False,Recycler/Recovery
Enva Ireland Limited (Portlaoise) - W0184,2021,69486.326,16.0,12.0,0.0,0.0034021082075918075,0.9965978917924081,0.0,0.47911661065516686,0.0,1,0.022454826403575545,False,Transfer/storage
Enva Ireland Limited (Portlaoise) - W0184,2022,65196.520000000004,15.0,9.0,0.0,0.0,1.0,0.0,0.6546950665464966,,1,0.06279001812291374,False,Transfer/storage
Enva Ireland Limited (Portlaoise) - W0184,2023,58162.71000000001,17.0,10.0,0.9448383680884195,0.0,0.05516163191158045,0.0,0.6277047613496689,1.0,0,-0.0068474661509376755,True,Recycler/Recovery
Enva Ireland Limited (Portlaoise) - W0184,2024,66834.06999999999,16.0,10.0,0.980509192392443,0.0,0.01949080760755705,0.0,0.7019280735110103,1.0,0,0.0029855595530265955,False,Recycler/Recovery
Enva Ireland Limited (Portlaoise) - W0184,2025,72896.60999999999,22.0,11.0,0.9815202654828532,0.0,0.01847973451714696,0.0,0.9564835731044283,1.0,0,-0.03799152345975776,True,Recycler/Recovery
Enva Ireland Limited (Shannon) - W0041,2021,1.408,3.0,2.0,0.0,0.0,1.0,0.0,1.0,,4,0.00695298836050795,False,Small transfer/storage
Enva Ireland Limited (Shannon) - W0041,2022,1.259,9.0,3.0,0.0,0.0,1.0,0.0,1.0,,4,-0.01222717345367641,True,Small transfer/storage
Enva Ireland Limited (Shannon) - W0041,2023,1.7389999999999999,4.0,2.0,0.0,0.0,1.0,0.0,0.8280621046578494,,4,0.024054648743846108,False,Small transfer/storage
Enva Ireland Limited (Shannon) - W0041,2024,0.388,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.14081047756563425,False,Small transfer/storage
Enva Ireland Limited (Shannon) - W0041,2025,0.934,3.0,2.0,0.0,0.0,1.0,0.0,0.04817987152034261,,4,0.12508112056894372,False,Small transfer/storage
