model,availability_pct,median_mape,q1,q3,min_mape,max_mape,iqr
ARIMA,25,7.208477319631741,7.208477319631741,7.208477319631741,7.208477319631741,7.208477319631741,0.0
ARIMA,50,7.948664816568892,7.948664816568892,7.948664816568892,7.948664816568892,7.948664816568892,0.0
ARIMA,75,8.161434987834754,8.161434987834754,8.161434987834754,8.161434987834754,8.161434987834754,0.0
ARIMA,100,11.848488215360222,11.848488215360222,11.848488215360222,11.848488215360222,11.848488215360222,0.0
LightGBM,25,9.935252346695446,9.935252346695446,9.935252346695446,9.935252346695446,9.935252346695446,0.0
LightGBM,50,31.961456761711798,31.961456761711798,31.961456761711798,31.961456761711798,31.961456761711798,0.0
LightGBM,75,42.73727887265124,42.73727887265124,42.73727887265124,42.73727887265124,42.73727887265124,0.0
LightGBM,100,19.036321784169985,19.036321784169985,19.036321784169985,19.036321784169985,19.036321784169985,0.0
Prophet,25,14.109656310841482,14.109656310841482,14.109656310841482,14.109656310841482,14.109656310841482,0.0
Prophet,50,13.239745815313666,13.239745815313666,13.239745815313666,13.239745815313666,13.239745815313666,0.0
Prophet,75,7.3528793343327585,7.3528793343327585,7.3528793343327585,7.3528793343327585,7.3528793343327585,0.0
Prophet,100,58.138450159359856,58.138450159359856,58.138450159359856,58.138450159359856,58.138450159359856,0.0
STL+LGBM,25,9.935252346695446,9.935252346695446,9.935252346695446,9.935252346695446,9.935252346695446,0.0
STL+LGBM,50,12.749812225827558,12.749812225827558,12.749812225827558,12.749812225827558,12.749812225827558,0.0
STL+LGBM,75,9.914850044421327,9.914850044421327,9.914850044421327,9.914850044421327,9.914850044421327,0.0
STL+LGBM,100,13.89850584628416,13.89850584628416,13.89850584628416,13.89850584628416,13.89850584628416,0.0
SVR,25,9.709002201882305,9.709002201882305,9.709002201882305,9.709002201882305,9.709002201882305,0.0
SVR,50,17.367055751394037,17.367055751394037,17.367055751394037,17.367055751394037,17.367055751394037,0.0
SVR,75,22.482529871135075,22.482529871135075,22.482529871135075,22.482529871135075,22.482529871135075,0.0
SVR,100,15.108643928381074,15.108643928381074,15.108643928381074,15.108643928381074,15.108643928381074,0.0
TFT/MLP,25,7.579207994370537,4.922299236695339,9.369960926153015,3.1654456708026184,16.341375740428308,4.447661689457676
TFT/MLP,50,8.542874904491287,4.974258180150732,10.308207632723887,2.620684445189221,20.987627229105208,5.333949452573155
TFT/MLP,75,9.90012245393612,6.450515044866853,12.137801013805921,5.00543293125613,17.8101690710604,5.687285968939069
TFT/MLP,100,12.360075769684247,8.857723970586207,14.699766862625165,4.702801501713819,26.044872483379226,5.8420428920389575
XGBoost,25,1.8832356528214729,1.8567301402419973,1.9379166551838767,1.5960157036573306,2.178697772360094,0.08118651494187934
XGBoost,50,2.2002082003063896,2.1118140482562193,2.3432077815782546,1.8959996813311815,2.5921333299496987,0.23139373332203528
XGBoost,75,16.096571716677182,15.45935551766318,16.74585528021381,13.929206835348259,17.956586639190576,1.2864997625506298
XGBoost,100,17.40588472565619,16.98866453254524,18.992214408753505,16.355306608714766,20.25761327162668,2.0035498762082646
