model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std
Logistic Regression,0.9662970297029702,0.011835158361170217,0.7777777777777779,0.16570090562050888,0.8798039215686273,0.11323015861370478,0.8133201058201058,0.11058127958544244
Random Forest,0.9681980198019801,0.02770115139925109,0.9555555555555555,0.08888888888888889,0.7860784313725491,0.15160603754136143,0.8580086580086581,0.11797311226019477
