year,disposal,other,recovery,recovery_rate,meets_eu_70_target
2021,1467252.6709999999,368208.0531,4201601.3209999995,0.741172964928958,True
2022,997270.6340000001,471866.2305,3961719.6459999997,0.7988964330053093,True
2023,1547457.986,528089.1711,3871535.567,0.7144381201296477,True
2024,436463.276,575793.3351,4338221.035,0.908588034816361,True
2025,72264.551,1251172.999,4760870.558,0.9850481003799308,True
